#Complex	IC50	 E_elec	 E_vdw	 E_gbsa	 MD_sasa	 MD_h1	 MD_h2	 MD_h3	 IC_AA	 IC_PP	 IC_CC	 IC_AP	 IC_CP	 IC_AC	 ENM_EXP	 ENM_R6	 RFCB	 RFHA	 ZRANK	 ZRANKr	 DFIRE	 prodigy	 NIS_A	 NIS_C	 foldx
CH117_4__CH235.12	0.34	-1257.720540	-356.050735	1461.399193	-24.824327	14.333333	12.500000	-3.962728	13.333333	8.000000	12.833333	14.333333	20.000000	21.333333	90.133534	229.946650	26.128667	-60.451167	-145.003333	-393.334000	-14.721108	-15.557500	41.256667	19.855000	-7.125885
CH119_10__CH235.12	1.24	-1094.941922	-408.803211	1376.849604	-26.522078	12.833333	11.666667	-3.635025	15.333333	10.333333	11.000000	22.666667	16.666667	21.166667	94.859832	234.003613	21.811667	96.480833	-125.790100	-311.408333	-15.292021	-18.176333	41.533333	18.516667	-8.228455
CH181_12__CH235.12	0.612	-746.108584	-370.696937	978.397484	-24.804468	14.666667	12.166667	-3.326655	15.833333	10.500000	10.000000	15.666667	15.166667	21.166667	92.547035	233.954405	21.791500	91.742833	-113.557150	-303.360500	-14.180084	-14.631500	42.010000	18.713333	-9.349943
CM244_EC1__CH235.12	0.089	-975.900917	-377.495226	1234.086658	-24.013735	12.333333	10.666667	-3.507197	14.166667	10.666667	8.166667	22.500000	16.166667	21.833333	92.816694	232.688544	21.075833	-28.184667	-135.016167	-325.794833	-14.557672	-17.295500	43.011667	18.488333	-8.607773
CNE10__CH235.12	5.26	-672.647140	-364.065810	944.837499	-24.014849	12.666667	10.500000	-3.662170	15.000000	11.000000	9.333333	18.833333	15.500000	16.500000	92.670909	228.998602	19.912333	3.208500	-99.967633	-293.300833	-14.040298	-15.099667	42.071667	16.541667	-6.310632
CNE12__CH235.12	2.56	-463.075287	-367.811574	748.532920	-24.582815	13.000000	10.666667	-3.546865	15.000000	8.666667	11.833333	14.500000	19.000000	21.500000	92.240857	228.173416	24.046667	47.751167	-104.003533	-298.261833	-14.644462	-15.533000	40.155000	19.058333	-7.306678
CNE14__CH235.12	0.594	-824.207107	-384.962369	1087.661354	-23.948897	11.833333	9.666667	-3.608897	13.000000	10.833333	10.333333	19.166667	16.333333	18.000000	90.741811	228.646159	17.660833	-35.642833	-97.105667	-316.219500	-14.119608	-15.711167	41.365000	18.181667	-5.657900
CNE15__CH235.12	0.249	-1121.178173	-362.453032	1388.344307	-23.283845	11.833333	9.500000	-3.628525	13.666667	7.166667	9.166667	14.666667	19.500000	21.333333	90.416291	227.717767	20.465000	17.817667	-118.542800	-353.962500	-14.036792	-15.113500	42.426667	19.928333	-10.281398
CNE19__CH235.12	0.134	-693.735607	-377.131261	931.945935	-24.857361	13.166667	11.666667	-4.027374	14.333333	10.166667	10.000000	17.500000	16.166667	20.833333	92.241415	228.229758	23.945500	-36.186000	-140.172833	-389.216333	-14.872445	-15.338167	42.753333	19.076667	-10.254387
CNE20__CH235.12	0.254	-1814.866393	-364.760877	1994.009699	-25.178562	16.500000	13.833333	-3.568960	12.333333	11.333333	13.166667	19.166667	17.500000	19.000000	90.120366	226.177347	25.620500	18.099333	-133.939000	-336.333000	-15.197715	-16.036667	43.055000	17.450000	-7.917692
CNE21__CH235.12	0.527	-841.037828	-376.387998	1095.976087	-25.272010	13.500000	11.166667	-3.669790	15.333333	10.333333	11.000000	17.500000	16.000000	19.833333	92.504111	231.405000	23.481833	-71.859333	-135.377167	-416.295500	-15.274536	-15.527167	40.975000	19.556667	-7.719657
CNE3__CH235.12	2.45	-920.015529	-364.143143	1172.635693	-23.633389	13.500000	10.833333	-3.013107	13.166667	10.333333	9.166667	20.833333	17.000000	19.500000	91.074640	232.778211	23.464667	-18.014667	-133.595833	-323.371667	-14.427349	-16.374667	41.358333	20.850000	-6.943088
CNE30__CH235.12	1.21	-785.353289	-396.920090	1071.135236	-25.057163	14.500000	11.333333	-3.742366	14.000000	10.833333	8.666667	19.166667	17.666667	20.666667	92.826587	236.558845	20.134833	51.281500	-130.825833	-330.793667	-14.993561	-15.756333	42.073333	18.478333	-8.529715
CNE31__CH235.12	2.78	-52.232958	-378.150202	395.893659	-24.599462	10.500000	9.333333	-4.009074	15.500000	7.333333	11.833333	14.500000	18.500000	22.166667	92.995199	232.599438	26.736833	34.780333	-109.120833	-326.508833	-14.469431	-15.834667	41.921667	19.228333	-5.996512
CNE4__CH235.12	1.16	-253.745692	-383.156288	522.668864	-24.958665	14.333333	12.000000	-3.502146	14.000000	11.833333	10.333333	21.000000	16.833333	18.166667	94.076522	235.989448	23.075000	2.184500	-129.402250	-323.077833	-14.994164	-15.859500	43.925000	17.068333	-7.039205
CNE40__CH235.12	0.207	-1001.551196	-375.750114	1253.831349	-25.261978	13.000000	11.166667	-3.692240	14.500000	10.166667	11.833333	17.500000	15.666667	24.000000	91.953160	233.720381	27.653333	6.545167	-125.213483	-329.520000	-15.270934	-16.523333	42.315000	18.185000	-8.645632
CNE5__CH235.12	1.03	-684.636946	-348.198921	949.379010	-22.795690	12.333333	10.333333	-4.076253	13.000000	8.333333	7.500000	18.333333	19.666667	22.000000	90.664566	231.210341	25.283333	70.458667	-110.072900	-271.803833	-13.603048	-16.555667	40.776667	19.135000	-5.363063
CNE53__CH235.12	0.274	-979.871003	-391.995941	1213.057577	-25.180520	13.166667	11.500000	-3.885635	11.500000	10.833333	9.666667	20.666667	18.666667	20.166667	90.009983	228.449442	23.505667	32.047667	-124.530333	-310.323000	-14.758583	-16.694500	41.348333	18.233333	-9.036648
CNE55__CH235.12	0.4	-684.037166	-362.474235	976.574036	-23.372410	10.500000	8.833333	-3.445958	16.166667	7.333333	6.333333	17.500000	19.000000	22.500000	93.034471	227.946454	21.167000	59.501500	-128.934833	-304.124500	-13.571593	-16.050833	41.998333	20.358333	-5.586778
CNE56__CH235.12	1.1	-761.724597	-375.576527	997.448775	-25.248725	14.500000	12.500000	-3.373428	11.166667	10.000000	9.833333	19.166667	19.500000	21.166667	90.142267	229.282199	25.949000	6.000333	-128.272967	-334.881500	-14.877000	-16.278167	41.701667	19.886667	-6.272007
CNE57__CH235.12	1.25	-131.589761	-385.513571	426.903194	-24.433388	12.166667	9.500000	-3.128469	13.500000	8.333333	9.000000	15.500000	22.833333	23.166667	90.551236	226.508085	23.183333	29.690500	-113.858000	-320.485167	-14.146849	-15.480833	43.051667	18.281667	-7.281642
CNE58__CH235.12	1.95	-834.630138	-375.686252	1047.728080	-24.573251	12.666667	11.500000	-3.456034	16.166667	10.166667	9.500000	20.000000	17.500000	20.166667	92.704663	234.435093	18.080667	-69.867500	-142.510050	-383.605333	-14.951251	-16.406000	41.671667	19.361667	-9.524137
CNE59__CH235.12	0.943	-953.210627	-364.757542	1200.612276	-23.524830	11.833333	10.333333	-3.593394	12.333333	11.666667	6.833333	21.666667	16.000000	18.833333	90.511433	228.824231	22.063000	-8.602167	-125.151667	-294.295333	-14.391496	-15.873500	42.166667	18.181667	-7.965597
CNE7__CH235.12	1.36	-1026.207999	-362.086754	1266.155283	-23.440774	12.833333	11.833333	-3.552027	13.500000	8.000000	10.166667	19.166667	14.666667	22.333333	90.576296	231.661172	25.549167	-95.310000	-136.485833	-393.655167	-14.938212	-17.322333	42.356667	19.255000	-9.732633
CNE8__CH235.12	1.1	-700.487690	-360.808369	984.732902	-23.250440	9.500000	8.333333	-3.482503	13.500000	8.500000	7.666667	17.333333	17.833333	21.833333	90.810725	227.689600	23.554333	-3.771000	-121.468983	-330.972167	-14.087241	-15.768500	42.326667	18.965000	-8.101230
DJ263_8__CH235.12	0.276	-913.466650	-354.949044	1130.063736	-24.971273	13.166667	11.500000	-3.294973	13.333333	9.666667	10.833333	18.166667	17.666667	18.666667	92.774010	233.172594	22.099333	-15.483667	-157.069333	-367.834333	-14.282610	-16.021000	40.543333	18.733333	-7.810053
DU123_06__CH235.12	4.25	-917.622411	-393.776116	1201.702173	-24.455577	13.500000	11.500000	-3.406108	14.666667	12.000000	7.833333	22.666667	15.833333	21.333333	92.796482	231.106713	21.372667	13.794667	-143.435667	-309.683167	-15.140009	-17.015167	41.000000	18.820000	-6.411642
DU151_02__CH235.12	0.287	-686.796042	-406.476989	970.207485	-26.324783	13.000000	10.833333	-3.489563	15.166667	10.166667	11.000000	19.000000	16.833333	20.833333	92.583571	224.984348	25.720167	-102.486167	-159.689000	-430.516667	-15.963449	-16.367833	41.778333	19.228333	-9.129835
DU156_12__CH235.12	0.285	-796.236822	-381.814726	1067.288583	-23.910556	12.166667	10.166667	-3.544652	14.333333	7.666667	9.166667	18.333333	17.833333	25.166667	93.284789	233.042246	24.285667	-40.675667	-135.885183	-368.740833	-15.139350	-17.540333	42.163333	18.885000	-9.889977
DU172_17__CH235.12	0.361	-120.824629	-380.286183	399.020443	-24.552643	13.333333	10.666667	-3.592361	14.666667	10.500000	10.833333	19.500000	15.000000	19.500000	92.209790	231.252010	17.169333	-30.309500	-126.434717	-354.038500	-14.756607	-16.112667	41.275000	20.293333	-7.975823
DU422_1__CH235.12	0.944	-1136.388864	-377.272309	1358.512950	-24.352987	13.833333	11.833333	-3.481964	14.166667	11.500000	8.500000	21.666667	16.833333	18.833333	90.178374	227.571602	25.457833	-94.433667	-128.672000	-367.880667	-14.930232	-16.011333	41.595000	20.710000	-11.265087
H086_8__CH235.12	0.174	-559.436818	-391.096138	806.898070	-28.223273	17.500000	15.500000	-3.543844	8.166667	8.500000	14.333333	14.500000	23.166667	28.833333	92.495687	228.285665	31.318333	35.121333	-164.442167	-388.484167	-16.615903	-17.220167	41.596667	19.416667	-9.416370
HT593_1__CH235.12	0.984	-501.337339	-393.227803	757.029367	-25.097206	15.666667	13.000000	-3.151845	13.666667	11.333333	8.500000	20.000000	18.666667	19.166667	92.404182	237.485412	24.519167	-7.384167	-122.251833	-330.224500	-15.088813	-15.742000	41.313333	18.526667	-7.312452
HXB2__CH235.12	0.173	-377.645936	-376.957396	677.979972	-25.646845	12.000000	9.666667	-3.739517	14.333333	7.500000	10.666667	16.166667	21.000000	23.000000	92.692743	231.279326	21.994500	82.469000	-124.733317	-323.630333	-13.924688	-16.587333	41.768333	18.596667	-5.317375
JRCSF__CH235.12	0.596	-755.487828	-369.846328	1042.573103	-25.248030	13.000000	10.666667	-3.397171	13.833333	7.333333	11.333333	17.000000	19.833333	24.000000	92.577529	230.103526	23.345667	73.498333	-115.031733	-319.841167	-14.091057	-17.156333	41.695000	20.145000	-7.852622
JRFL__CH235.12	0.127	-789.581332	-367.513991	1033.532416	-23.088212	14.000000	11.166667	-3.761505	11.666667	10.000000	9.500000	20.000000	17.500000	18.000000	90.631934	227.985930	21.149333	10.940333	-94.721683	-287.510333	-14.009991	-15.908000	41.945000	19.928333	-7.550620
KER2018_11__CH235.12	2.52	-1061.711389	-367.682313	1331.843209	-25.280523	13.000000	10.666667	-3.987157	15.000000	7.500000	9.666667	16.000000	21.333333	23.333333	92.812483	230.307203	26.894667	56.254000	-121.052467	-308.596167	-14.205155	-16.160167	43.158333	18.376667	-6.115827
KNH1209_18__CH235.12	0.251	-604.855752	-401.339419	842.077066	-26.235559	17.333333	13.500000	-4.426722	13.500000	10.833333	9.666667	22.500000	20.333333	20.500000	93.188307	230.509337	22.012333	-18.981500	-145.803000	-359.766500	-15.099104	-17.661500	41.208333	17.923333	-8.606465
MB201_A1__CH235.12	0.333	-615.065248	-393.228520	886.131363	-26.007401	14.166667	12.500000	-3.166967	13.000000	11.000000	10.833333	20.166667	19.500000	18.500000	93.007557	229.176006	21.122333	-34.938333	-149.339833	-362.414000	-14.907135	-16.152000	40.953333	19.770000	-5.337650
MI369_A5__CH235.12	0.416	-495.304316	-377.064373	747.392110	-25.227449	12.333333	10.500000	-3.454859	16.166667	9.500000	9.500000	18.666667	17.333333	19.500000	92.881380	233.862712	23.346167	-93.343333	-159.259333	-426.952667	-14.288281	-16.053833	41.128333	19.198333	-8.264375
MN_3__CH235.12	0.142	-1142.464229	-365.137132	1380.709732	-25.334159	14.833333	11.666667	-4.344198	13.000000	7.833333	11.500000	14.333333	19.333333	24.500000	92.639390	233.821854	29.834000	161.920167	-124.507000	-293.676500	-13.657608	-16.191000	40.693333	19.268333	-5.607922
MS208_A1__CH235.12	0.463	-1758.310965	-381.966902	1964.809709	-25.814660	16.666667	14.166667	-3.663564	12.333333	10.500000	9.666667	20.666667	19.833333	21.000000	91.176553	228.362653	22.545000	-3.935167	-141.909333	-339.513333	-14.925560	-16.631000	42.203333	19.695000	-6.699478
MW965_26__CH235.12	0.573	-810.214411	-380.822736	1073.833946	-24.133993	12.500000	10.500000	-3.207311	12.166667	7.833333	7.833333	16.666667	20.000000	24.666667	90.376881	228.932342	25.416167	1.675500	-136.163717	-365.573333	-14.484006	-16.367500	41.876667	19.271667	-9.243390
NKU3006_EC1__CH235.12	0.466	-246.609030	-394.725342	492.695843	-25.366177	15.833333	12.833333	-3.186264	14.500000	11.000000	9.333333	20.166667	19.000000	21.666667	93.202873	233.573461	24.272500	32.247667	-123.353500	-321.353500	-13.998320	-16.436833	41.341667	19.715000	-8.271155
P1981_C5_3__CH235.12	2.19	-729.976285	-381.234817	1032.175254	-25.390359	11.500000	9.000000	-3.700216	12.500000	8.000000	10.166667	16.500000	22.000000	23.833333	91.189925	225.785995	26.989167	76.185000	-114.152733	-313.273000	-13.961142	-16.341167	43.240000	18.586667	-4.851396
PVO_4__CH235.12	1.47	-388.775180	-369.333268	630.351182	-24.034359	13.666667	11.666667	-3.561854	11.666667	10.333333	9.333333	18.666667	17.166667	21.000000	91.014445	234.533560	23.628833	20.283833	-113.209867	-295.391167	-14.189051	-15.970167	41.776667	18.506667	-7.584705
Q168_A2__CH235.12	0.261	-1304.750475	-396.290094	1547.668504	-26.247738	16.000000	13.000000	-3.377731	15.166667	10.666667	10.500000	21.166667	20.166667	19.166667	93.294790	227.083626	22.239167	0.190667	-157.580167	-381.273333	-14.291202	-16.822000	41.250000	19.253333	-8.063278
Q23_17__CH235.12	0.132	-836.255366	-378.821230	1068.654750	-25.737401	14.333333	12.833333	-3.428314	14.833333	11.000000	10.333333	18.500000	16.000000	20.333333	93.307536	228.275315	22.019667	-35.783833	-164.322500	-411.822333	-14.578412	-15.491667	42.088333	19.511667	-7.436952
Q259_17__CH235.12	0.1	-1264.468869	-369.074155	1494.255640	-25.189856	15.500000	12.666667	-3.274058	13.500000	10.166667	10.666667	18.500000	18.333333	19.500000	90.037530	225.621402	21.828000	-33.604500	-152.019633	-375.594167	-14.490294	-15.795500	42.070000	18.951667	-6.414803
Q461_E2__CH235.12	0.818	-1112.559294	-392.382422	1375.879136	-25.261501	14.000000	11.500000	-3.869446	13.166667	11.166667	10.166667	21.333333	16.666667	20.666667	90.459198	231.658988	26.147333	-20.610333	-149.966167	-381.766000	-14.987537	-16.907500	41.693333	18.876667	-7.847983
Q769_D22__CH235.12	0.11	-589.802610	-402.539257	867.042306	-26.525884	12.500000	11.333333	-4.339152	18.166667	10.833333	9.833333	17.000000	14.833333	24.500000	93.351790	232.385392	18.928833	0.816833	-147.040333	-373.815167	-15.294064	-15.687333	42.076667	19.010000	-8.782900
Q769_H5__CH235.12	0.139	-646.200400	-412.266215	909.689256	-26.829077	14.000000	11.666667	-4.593185	18.666667	10.166667	10.333333	18.333333	15.333333	26.666667	92.703209	232.793943	22.396000	2.855667	-170.420833	-423.145167	-15.485546	-17.111167	42.718333	17.928333	-10.751487
Q842_D12__CH235.12	0.091	-684.328128	-405.056082	954.583372	-26.208744	14.333333	11.833333	-3.604080	14.666667	11.166667	9.666667	20.166667	19.333333	22.000000	92.864488	229.084778	24.407667	-18.391500	-141.737000	-352.224833	-15.740556	-16.582500	41.278333	19.213333	-7.195068
QH0515_1__CH235.12	1.4	-367.655157	-363.280980	613.593450	-23.932554	11.500000	10.166667	-3.619466	13.666667	11.333333	8.666667	18.500000	17.500000	16.833333	90.725499	232.014135	21.742667	-66.252167	-151.291500	-372.622167	-14.390705	-14.578500	41.370000	18.800000	-8.990332
QH0692_42__CH235.12	2.25	-291.602329	-376.959215	572.457164	-24.288170	13.000000	11.166667	-3.583252	13.500000	11.333333	8.666667	20.166667	17.500000	21.833333	90.120399	233.531801	24.810833	11.319333	-118.456633	-315.951667	-14.860439	-16.169500	42.636667	18.281667	-8.045603
QH209_14M_A2__CH235.12	0.374	-1600.388154	-371.772541	1800.438144	-26.264010	15.500000	13.500000	-3.931971	11.666667	11.666667	11.666667	22.000000	18.333333	20.833333	90.060062	228.885292	25.817500	-11.065167	-157.341333	-372.834833	-15.587794	-17.130000	42.058333	19.841667	-9.612980
R1166_C1__CH235.12	0.758	-408.800550	-400.775950	692.709436	-26.340378	13.833333	11.166667	-4.112356	17.166667	11.000000	9.666667	21.500000	18.333333	23.333333	93.126394	234.805076	24.137833	55.334500	-137.605833	-330.491500	-14.530388	-17.670500	40.413333	19.288333	-6.952650
R2184_C4__CH235.12	0.563	-678.578326	-368.865929	955.684900	-24.761392	11.166667	10.333333	-2.936579	8.166667	9.000000	9.500000	19.000000	22.166667	21.500000	90.608706	231.967400	24.779333	27.609667	-132.653333	-330.907667	-13.721250	-16.656333	41.833333	19.286667	-6.343378
R3265_C6__CH235.12	0.172	-1277.867490	-383.923453	1532.146911	-24.400270	12.333333	11.500000	-3.722656	15.166667	11.500000	7.666667	22.833333	16.166667	20.500000	92.812850	231.608005	23.889833	112.531667	-110.608050	-279.732667	-14.694598	-16.807833	42.805000	18.413333	-7.342790
REJO4541_67__CH235.12	1.09	-773.706691	-385.021312	1045.006115	-25.751077	13.666667	12.166667	-3.631048	15.500000	8.000000	8.500000	15.666667	22.000000	24.000000	92.927463	232.092265	22.177833	39.631167	-125.813833	-311.778833	-14.768691	-15.881333	41.868333	18.998333	-6.075618
RHPA4259_7__CH235.12	0.091	-301.350217	-384.270903	566.580360	-24.268681	13.333333	11.000000	-3.945196	13.166667	12.333333	9.833333	19.333333	17.166667	19.833333	89.898690	229.096945	22.819500	-52.810333	-143.651000	-389.552333	-14.800470	-15.269667	41.546667	19.398333	-9.139052
S018_18__CH235.12	0.11	-1230.225825	-362.652343	1423.298267	-24.776661	14.666667	12.333333	-3.423965	12.666667	11.166667	8.000000	20.000000	16.666667	23.666667	91.348453	224.593105	24.255000	13.920333	-127.026983	-333.844167	-15.155511	-16.192333	44.078333	17.833333	-8.034357
SC422_8__CH235.12	0.798	-272.728663	-386.311510	551.931545	-25.014713	14.166667	12.333333	-3.023722	15.166667	7.833333	9.666667	17.666667	22.833333	23.000000	92.937333	230.709410	22.099333	85.993667	-123.281600	-311.634833	-14.428960	-16.673167	43.755000	17.896667	-7.499813
SF162__CH235.12	0.534	-42.669522	-361.936488	337.927367	-24.225122	11.666667	10.333333	-3.739131	15.500000	7.333333	10.333333	14.833333	18.500000	21.833333	92.674782	229.854890	25.082333	110.359333	-106.085983	-296.098667	-13.980138	-15.455500	42.598333	19.613333	-5.766202
SS1196_1__CH235.12	0.827	-474.162146	-372.919493	759.975115	-24.352283	12.166667	10.500000	-3.146362	12.500000	8.666667	9.333333	17.166667	21.500000	24.000000	92.984435	229.814420	26.188500	101.069167	-110.289633	-286.866000	-14.653449	-16.576333	41.460000	18.690000	-6.322967
T251_18__CH235.12	4.02	-500.366176	-377.228420	773.252008	-24.245927	13.000000	10.333333	-4.031718	12.666667	9.333333	9.166667	21.000000	19.333333	20.333333	90.690498	232.186333	22.058667	-42.960000	-140.740167	-348.985333	-15.133767	-17.420000	40.218333	19.415000	-7.525958
T253_11__CH235.12	1.65	-781.896041	-387.541385	1092.128699	-24.839856	10.000000	8.666667	-3.195567	14.333333	9.500000	7.833333	15.666667	21.500000	23.833333	92.564109	230.560458	22.239000	90.170000	-108.936917	-275.084833	-14.439290	-15.232500	42.091667	17.985000	-5.929523
T255_34__CH235.12	0.608	-718.094906	-380.546931	1008.621902	-24.510696	11.500000	10.000000	-4.179199	15.000000	12.333333	9.666667	20.500000	18.166667	19.000000	93.045169	232.839772	19.083333	7.408833	-112.582167	-282.913167	-14.890546	-15.706333	41.531667	18.653333	-7.173838
T257_31__CH235.12	2.66	-1334.399335	-383.131417	1548.342834	-25.566404	14.833333	13.000000	-4.149200	13.333333	11.166667	10.500000	20.000000	18.333333	21.166667	92.483979	234.805368	26.300333	82.514500	-147.067967	-356.203000	-14.471876	-16.462833	42.533333	17.766667	-8.276357
T280_5__CH235.12	0.109	-929.246413	-378.305207	1158.635738	-24.944899	15.500000	13.333333	-3.850759	12.166667	10.666667	10.666667	19.666667	18.833333	20.166667	90.060184	226.210176	25.747167	-49.142667	-152.329833	-387.080667	-15.025308	-16.410167	42.020000	17.946667	-7.982347
TH966_8__CH235.12	0.304	-620.333502	-373.984771	877.661030	-24.041690	12.500000	10.166667	-3.235163	14.500000	11.333333	6.666667	22.333333	15.000000	21.500000	93.140770	231.549088	22.629333	45.689500	-124.206617	-282.109000	-14.344782	-16.643333	43.111667	18.098333	-9.448492
TH976_17__CH235.12	0.286	-745.958541	-375.061258	984.437751	-23.752338	14.166667	12.166667	-3.096476	15.166667	12.333333	7.333333	23.333333	14.666667	22.000000	92.907443	230.085970	21.075000	-10.794000	-135.037333	-325.295833	-13.987202	-16.925333	42.526667	18.938333	-9.971057
TRJO4551_58__CH235.12	0.524	-486.818806	-377.278954	761.282177	-24.687667	11.833333	10.333333	-3.507751	14.500000	8.666667	9.833333	14.500000	18.666667	21.666667	92.511824	232.026013	26.804000	67.928167	-115.169883	-297.689833	-14.462046	-14.738833	42.016667	19.791667	-7.006263
TRO_11__CH235.12	0.714	-631.751679	-381.855076	907.732925	-24.412978	13.500000	11.000000	-3.546209	12.333333	10.666667	8.833333	21.500000	19.000000	17.333333	90.367918	233.181333	25.094833	18.252000	-119.355450	-325.645833	-14.596859	-16.420000	40.670000	19.101667	-6.529855
TV1_29__CH235.12	4.63	-124.239498	-357.772676	413.884213	-22.825029	11.166667	9.166667	-3.613566	10.000000	8.166667	9.500000	17.500000	17.500000	21.500000	90.471804	232.332458	24.233500	80.967167	-119.149950	-290.394500	-13.618557	-16.666333	40.748333	18.121667	-7.493788
TZBD_02__CH235.12	0.219	-1172.875332	-403.337995	1453.591449	-24.879463	11.166667	8.833333	-3.240224	12.666667	12.500000	10.000000	23.833333	16.166667	17.666667	90.450439	230.152385	23.112667	-98.824500	-120.760700	-391.110000	-14.657944	-16.856167	41.390000	19.516667	-9.165782
UG037_8__CH235.12	0.188	-915.423153	-399.069433	1189.509993	-26.031857	12.333333	10.833333	-4.256149	12.666667	11.666667	9.000000	20.333333	19.000000	19.833333	90.065806	229.014904	22.862667	-86.552833	-139.363833	-391.154667	-15.117409	-16.028333	41.760000	17.643333	-10.254062
WITO4160_33__CH235.12	0.418	-300.821232	-385.383915	557.461876	-24.389071	12.833333	11.166667	-4.142151	11.833333	11.666667	9.500000	20.500000	20.333333	19.500000	90.183604	228.177373	25.853167	58.411667	-119.331517	-298.013833	-13.990351	-15.929500	42.320000	18.358333	-6.644783
X1193_C1__CH235.12	0.972	-95.530027	-365.491191	409.736687	-24.309045	10.833333	9.500000	-4.161453	13.166667	6.666667	11.333333	15.666667	17.166667	23.666667	92.528084	232.736812	19.203833	65.476500	-96.019867	-305.265000	-13.642424	-16.778167	41.258333	20.501667	-6.908488
X1254_C3__CH235.12	1.98	-923.561732	-407.117952	1222.499765	-25.933297	13.333333	11.333333	-3.690028	12.166667	8.666667	11.000000	20.166667	20.833333	24.666667	93.146874	230.357097	28.548667	71.698000	-153.461500	-378.461333	-14.700347	-18.313500	42.250000	18.138333	-7.195818
X1632_S2_B10__CH235.12	0.484	-1146.043540	-374.634366	1431.714938	-24.938499	12.833333	10.333333	-3.331238	14.500000	7.000000	10.833333	16.666667	20.500000	22.833333	92.638862	231.576926	21.980333	46.762167	-107.797033	-320.830333	-14.473966	-16.980500	41.223333	19.531667	-7.157697
X2131_C1_B5__CH235.12	2.58	-343.858484	-381.020224	623.859565	-24.707967	13.833333	11.333333	-3.624044	12.666667	7.000000	10.833333	16.166667	21.666667	26.333333	90.005772	230.589071	24.007667	67.919333	-124.049850	-324.636667	-14.321150	-17.352167	41.018333	20.551667	-8.055337
X2278_C2_B6__CH235.12	0.425	-240.209075	-365.624424	502.332566	-24.989010	12.000000	11.166667	-3.788172	16.833333	7.833333	10.500000	16.000000	19.166667	25.500000	92.566885	229.327260	26.629833	163.952000	-101.503150	-256.854000	-14.528579	-16.917667	41.705000	18.195000	-6.670895
YU2__CH235.12	0.235	-667.453212	-394.149170	930.134045	-25.131521	13.833333	11.500000	-3.639277	14.000000	10.666667	11.166667	20.333333	16.833333	22.833333	92.558745	228.425938	25.687333	9.512000	-139.749000	-365.176333	-14.974136	-17.037333	42.795000	19.095000	-8.215660
ZA012_29__CH235.12	0.971	-942.227222	-355.130717	1187.951100	-23.763779	12.166667	10.000000	-3.147303	17.833333	6.833333	8.166667	16.333333	16.166667	23.333333	92.844772	228.179609	25.062333	86.629167	-117.572667	-320.008167	-13.483358	-16.217333	41.951667	20.523333	-8.741682
ZM106_9__CH235.12	0.62	-814.782960	-355.513978	1034.402768	-23.771631	13.166667	11.166667	-3.576838	14.000000	7.166667	9.500000	14.000000	20.333333	23.000000	90.624914	229.832967	24.700833	25.859500	-129.318833	-353.222500	-13.802445	-15.236833	42.735000	19.303333	-8.802770
ZM109_4__CH235.12	0.416	-913.713012	-361.979463	1184.535430	-23.137793	11.333333	10.500000	-3.573497	12.333333	8.333333	9.666667	17.333333	20.500000	21.000000	90.744749	225.102702	24.593000	-11.684167	-115.226550	-281.250167	-14.682756	-16.036167	41.571667	20.051667	-6.850155
ZM176_66__CH235.12	0.183	-1556.017742	-351.408845	1799.352887	-23.054089	13.166667	10.500000	-3.401647	11.000000	7.833333	10.500000	16.000000	21.000000	23.500000	90.186156	230.149958	23.861167	15.933667	-121.013917	-301.482333	-13.814138	-16.296833	41.181667	20.495000	-7.295882
ZM197_7__CH235.12	1.4	-615.733683	-358.827598	918.038737	-23.632395	10.333333	9.333333	-3.551824	8.833333	9.000000	10.833333	17.333333	18.166667	21.166667	90.061699	233.260323	28.302833	115.806333	-124.564833	-301.169500	-13.553471	-16.208667	40.123333	20.713333	-7.100178
ZM214_15__CH235.12	2.22	-1469.394469	-371.958521	1672.753786	-24.979184	14.833333	13.333333	-3.109233	13.333333	10.833333	10.000000	19.500000	18.500000	19.333333	92.621101	232.803457	20.569667	30.020167	-131.968000	-348.388500	-14.764743	-15.849167	41.500000	19.575000	-7.516163
ZM215_8__CH235.12	0.315	-435.379829	-374.570788	671.523345	-24.057092	13.833333	11.666667	-3.354146	15.833333	9.833333	9.500000	17.833333	16.333333	19.666667	90.411114	221.978222	24.364500	-61.845333	-119.166317	-374.185000	-14.500939	-15.225000	42.690000	19.643333	-9.371832
ZM233_6__CH235.12	1.25	-700.849415	-374.385568	987.421902	-23.731689	11.500000	9.500000	-3.114517	14.166667	8.000000	9.500000	14.000000	20.833333	19.333333	90.751072	226.088390	26.689000	3.267667	-120.242283	-360.014000	-14.174690	-14.376333	41.705000	19.253333	-7.446920
ZM249_1__CH235.12	0.273	-196.209264	-359.630566	459.280401	-23.859543	12.000000	10.833333	-3.259018	15.166667	8.500000	7.166667	16.000000	20.000000	22.166667	93.001977	228.120123	21.498667	-21.898167	-121.541067	-339.997500	-13.940647	-15.284000	40.448333	20.433333	-8.666032
ZM53_12__CH235.12	0.558	-1030.110937	-390.895273	1312.039060	-24.973569	12.000000	10.166667	-3.524490	14.166667	11.000000	9.333333	19.833333	17.833333	20.000000	93.145396	225.197578	21.952500	50.506000	-127.871567	-333.288333	-14.670189	-15.954667	41.731667	19.168333	-6.799830
